"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"846924636193406978","846837621510750208","19575406","2017-03-29 03:19:03 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@gigastacey I have a townhouse near Burbank where I work. $465k. Mortgage/taxes ~$2300/mo.","","","",""
"846924162132168704","","","2017-03-29 03:17:09 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is pretty great. https://t.co/sQZKci5BmU","","","","https://twitter.com/williamlegate/status/846855553263398912"
"846922027072086016","","","2017-03-29 03:08:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Republicans realize that letting ISPs sell my info means that ISPs can sell _their_ info, too, right? 

Idiots. 

https://t.co/b5gbxdvrU9","","","","http://www.cocktailsandcoffee.com/writing/its-not-about-the-porn/"
"846848579960369152","","","2017-03-28 22:16:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","If you think Hillary's email issue was bad, wait until they start selling your email and browser history.  https://t.co/jhyOHhr50n","","","","https://apple.news/Ac5txcVXRTEaWKEXCBGT-hA"
"846763371944861696","846533818811080704","25073877","2017-03-28 16:38:14 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@realDonaldTrump because Hillary isn't the FUCKING PRESIDENT. She doesn't have the power to sell off America one ""deal"" at a time.","","","",""
"846762292309966849","846559984703889408","44649229","2017-03-28 16:33:57 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@ulaganath 1 drive failed, another failed while rebuilding array. That's why I got data loss. Was in progress moving to Synology anyway.","","","",""
"845822538638766080","","","2017-03-26 02:19:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @rob_bennett: Ouch. I hope @realDonaldTrump doesn't see this. It would upset him bigly, I bet. https://t.co/VND2c7oNlm","845620651373334528","20444181","2017-03-25 12:57:28 +0000","https://twitter.com/rob_bennett/status/845620651373334528/photo/1,https://twitter.com/rob_bennett/status/845620651373334528/photo/1"
"845822488911101952","","","2017-03-26 02:19:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @danielpunkass: Clearly @realDonaldTrump is the weakest, stupidest, most hateful President we've ever had.

Don't retweet this. It might…","845456790259224576","666043","2017-03-25 02:06:21 +0000",""
"845822172828385280","","","2017-03-26 02:18:15 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Unstable and ill-informed. https://t.co/3kYAKrZZLV","","","","https://twitter.com/realDonaldTrump/status/845646761704243200"
"845780520768188416","","","2017-03-25 23:32:44 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @seanspicer: Wish I could be on the golf course but have to work - must be nice to be President","229644347228950528","20776147","2012-07-29 18:27:33 +0000",""
